PLU CODE	PLU NAME	Price	Item code	Price Type	Best Before Day
50028	Bap cai thao Kg	14500	50028	By Weight	1
50031	Baro hanh Kg	34500	50031	By Weight	1
50035	Cai Ngong Kg	46900	50035	By Weight	1
50037	Bap cai thao giong Dai Loan kg	30900	50037	By Weight	1
50039	Can tay Kg	35000	50039	By Weight	0
50042	Dau dua Kg	30300	50042	By Weight	1
50045	Dau rong Kg	90000	50045	By Weight	0
50050	Mang tuoi Kg	35000	50050	By Weight	0
50052	Rau Bo ngot Kg	35000	50052	By Weight	0
50055	Cai bo xoi Kg	66000	50055	By Weight	1
50056	Cai Caron Kg	37900	50056	By Weight	1
50057	Cai dung Kg	33500	50057	By Weight	0
50059	Cai ngot Kg	32900	50059	By Weight	0
50061	Cai thia Kg	35900	50061	By Weight	1
50063	Bap chuoi kg	58500	50063	By Weight	0
50064	Rau dang Kg	34000	50064	By Weight	0
50065	Rau Dap ca Kg	62000	50065	By Weight	1
50066	Rau day Kg	37500	50066	By Weight	1
50071	Rau Hung que Kg	64900	50071	By Weight	1
50072	Rau Kinh gioi Kg	62000	50072	By Weight	1
50073	Rau lang Kg	28000	50073	By Weight	1
50074	Rau ma Kg	42000	50074	By Weight	0
50076	Rau muong Kg	25900	50076	By Weight	0
50077	Rau muong bao kg	39900	50077	By Weight	0
50078	Rau Ngo ri kg	89000	50078	By Weight	0
50084	Rau tia to Kg	64900	50084	By Weight	1
50087	Sa lach xoon la lon Kg	42000	50087	By Weight	0
50088	Sa lach xoon la nho Kg	145000	50088	By Weight	0
50091	Rau Thi la Kg	92000	50091	By Weight	0
50093	Mang tay Kg	150000	50093	By Weight	0
50094	La Giang Kg	48000	50094	By Weight	0
50095	Can Tau (Can Ta) Kg	62000	50095	By Weight	1
50097	Sa lach thang Kg-TD	33000	50097	By Weight	0
50105	Bong He Kg	112000	50105	By Weight	0
50755	Muop khia Kg	34000	50755	By Weight	0
50757	Ca tim Kg	25900	50757	By Weight	0
50760	Ot hiem Kg	105000	50760	By Weight	0
50761	Ot sung trau Kg	100000	50761	By Weight	0
50763	Ot chuong xanh Kg	49000	50763	By Weight	0
50765	Khoai lang kg	29900	50765	By Weight	0
50768	Khoai tu Kg	35000	50768	By Weight	0
50769	Khoai so Kg	52000	50769	By Weight	0
50775	Cu Su hao Kg	34900	50775	By Weight	0
50783	Bau Kg	20500	50783	By Weight	0
50784	Bi giong My	13500	50784	By Weight	0
50786	Chanh day Kg	40900	50786	By Weight	0
50790	Bi ngoi xanh Kg	29500	50790	By Weight	0
50792	S-Su su bao soi Kg	35000	50792	By Weight	0
50815	Ca phao trang Kg	33000	50815	By Weight	0
50817	Dau cove thuong Kg	40000	50817	By Weight	0
50881	Cu Kieu nguyen kg	85000	50881	By Weight	0
51501	Buoi Nam Roi kg	31900	51501	By Weight	0
51507	Nho do My kg	179000	51507	By Weight	0
51508	Nho xanh My kg	95000	51508	By Weight	0
51512	Coc chin loai-1	48500	51512	By Weight	0
51514	Dua hau do loai-1	13500	51514	By Weight	0
51515	Dua le kg	35900	51515	By Weight	0
51520	Luu Tu Xuyen kg	65000	51520	By Weight	0
51523	Mang cau xiem kg	69900	51523	By Weight	0
51524	Me kho TLan kg	28000	51524	By Weight	0
51525	Oi giong Dai Loan kg	14900	51525	By Weight	0
51526	So ri kg	33300	51526	By Weight	0
51533	Xoai ghep kg	24500	51533	By Weight	0
51541	Kiwi L2 kg	38500	51541	By Weight	0
51547	Mit to nu kg	34500	51547	By Weight	0
51554	Quyt duong kg	45900	51554	By Weight	0
51555	Sau rieng giong Thai L1 kg	69900	51555	By Weight	0
51560	Xoai giong Dai Loan L1 kg	29500	51560	By Weight	0
51561	Xoai tu Quy kg	42500	51561	By Weight	0
51562	Man do Uc kg	235000	51562	By Weight	0
51563	Tao do My kg	90000	51563	By Weight	0
51567	Dua hau Tlan kg	13500	51567	By Weight	0
51571	Mia kg	4500	51571	By Weight	0
51574	Tac kg	25500	51574	By Weight	0
51575	Tao xanh New Zealand kg	85000	51575	By Weight	0
51577	Nho den khong hat Adora Uc kg	180000	51577	By Weight	0
51580	Chuoi Sap chin kg	48600	51580	By Weight	0
51584	Nhan tieu Hue kg	57500	51584	By Weight	0
51590	Sau rieng hat lep kg	62500	51590	By Weight	0
51593	Dua hau vang loai1	20500	51593	By Weight	0
51597	Mit lot kg-Tu NCC	72500	51597	By Weight	0
51599	Dau Dalat loai 1 kg	256000	51599	By Weight	0
51601	Bo sap kg	34000	51601	By Weight	0
51622	Quyt Uc kg	82900	51622	By Weight	0
51632	Cam vang nhap khau kg	70000	51632	By Weight	0
51653	Le ki ma kg	26500	51653	By Weight	0
51654	Nho do TQuoc kg	40500	51654	By Weight	0
51713	Hong deo kg	314900	51713	By Weight	0
51721	Buoi da xanh loai-1	39900	51721	By Weight	0
51723	Buoi duong Tan Trieu kg	32500	51723	By Weight	0
53518	Chan ga CNghiep Kg	61000	53518	By Weight	0
53520	Xuong ga CNghiep ncon Kg	27000	53520	By Weight	0
53524	Ga TVuon ncon co dau Kg -NP	86000	53524	By Weight	0
54001	Vit tuoi ncon(1.7kg-2kg)/con	76000	54001	By Weight	0
54253	Chim Cut tam uop Kg	110000	54253	By Weight	1
54504	Tom the trungkg(70-90con/kg)	199000	54504	By Weight	0
54505	Tom cat dau Kg	160000	54505	By Weight	0
54506	Tom Dat Kg	345000	54506	By Weight	0
55003	Ca Bong lau Kg	149000	55003	By Weight	0
55005	Ca Chep Kg	99000	55005	By Weight	0
55127	Minh Ca Thu kg-NCC	255000	55127	By Weight	1
55203	File Ca Chem lon tuoi Kg	259000	55203	By Weight	0
56002	Cua xay Kg	77000	56002	By Weight	0
56003	Ngheu Kg	68000	56003	By Weight	0
56004	Nhong Kg	89000	56004	By Weight	1
56007	Ghe song L1 (3-4c) Kg	660000	56007	By Weight	0
56011	So huyet Kg	249000	56011	By Weight	0
56014	Chem chep Kg	215000	56014	By Weight	0
56015	Oc Gao Kg	45000	56015	By Weight	0
56016	Oc Dang Kg	50000	56016	By Weight	0
56019	Oc Len Kg	208000	56019	By Weight	0
56020	Oc Buu nguyen song Kg	117000	56020	By Weight	0
56025	So long Kg	91000	56025	By Weight	0
56028	Coi So diep Kg	240000	56028	By Weight	1
56035	Cua bien thit song (3-4c)Kg	402000	56035	By Weight	0
57001	Bun tuoi kg-TD	11000	57001	By Weight	0
57002	Mi tuoi Kg	6000	57002	By Weight	0
57004	Bun bo Kg	11000	57004	By Weight	0
57005	Banh canh Kg	11000	57005	By Weight	0
57009	La hoanh thanh Kg	25000	57009	By Weight	0
57010	Banh Hoi Kg	17500	57010	By Weight	0
57015	Ca mam nem kg	86900	57015	By Weight	0
57018	Kim chi kieu Han Quoc kg	103700	57018	By Weight	0
57019	Mam Thai du du kg	105400	57019	By Weight	0
57020	Mam ca phao kg	86900	57020	By Weight	0
57022	Tom chua hue kg	194000	57022	By Weight	0
57023	Dua mam kg	92200	57023	By Weight	0
57024	Dua mon kg	205200	57024	By Weight	0
57026	Cu sen chua ngot kg	56000	57026	By Weight	0
57028	Kieu chua trang kg	204600	57028	By Weight	0
57029	Mam sac xay kg	157200	57029	By Weight	0
57031	Mam sac nguyen con kg	165600	57031	By Weight	0
57032	Mam Linh nguyen con kg	157200	57032	By Weight	0
57033	Toi chua kg	222600	57033	By Weight	0
57034	Du du nuoc tom kg	89600	57034	By Weight	0
57331	Tom kho lon kg - AH	460000	57331	By Weight	0
51877	Tao bi do My kg	102000	51877	By Weight	0
57338	Tom kho trung kg - AH	800000	57338	By Weight	0
51916	Quyt vang ngoai kg	55000	51916	By Weight	0
51888	Le duong kg	42000	51888	By Weight	0
55483	Ca Sanma kg	88000	55483	By Weight	0
51913	Le do My kg	127500	51913	By Weight	0
51839	Nho do Uc L1 kg	150000	51839	By Weight	0
51785	Nho do khong hat kg	170000	51785	By Weight	0
51906	Kiwi Xanh New Zealand kg	135000	51906	By Weight	0
51860	Cam My loai 1 kg	120000	51860	By Weight	0
51817	Tao xanh My kg	86000	51817	By Weight	0
57776	Dphong rang co vo kg	93900	57776	By Weight	0
11561	S-Xoai Tu Quy kg (1)	15000	11561	By Weight	0
52460	Suon non heo kg	269100	52460	By Weight	0
51770	KiWi TQuoc kg	56000	51770	By Weight	0
52468	Xuong duoi heo kg	101700	52468	By Weight	0
50502	Ca Lang kg	149000	50502	By Weight	1
50203	Rau den com Kg	30000	50203	By Weight	0
53552	Tim ga kg	86000	53552	By Weight	0
51953	Vai thieu bay kg	109900	51953	By Weight	0
57011	Cha ca Basa hap kg	39000	57011	By Weight	0
50205	Rau ram kg	50000	50205	By Weight	0
50864	Nam linh chi nguyen Kg	180000	50864	By Weight	0
50139	Hung cay kg	72900	50139	By Weight	1
50873	Ot bot HQuoc Kg	18000	50873	By Weight	0
57760	Dau xanh khong vo kg	65000	57760	By Weight	0
52335	Ba roi rut suon heo kg-VS990	270000	52335	By Weight	0
52361	Suon non heo-VS990	285000	52361	By Weight	0
52359	Suon gia heo-VS990	184000	52359	By Weight	0
52372	Xuong duoi heo-VS990	105000	52372	By Weight	0
52342	Duoi cut heo-VS990	255000	52342	By Weight	0
52451	Thit nac xay kg-VS990	152000	52451	By Weight	0
50859	Cu cai muoi kg	63800	50859	By Weight	0
52338	Chan gio heo-VS990	125000	52338	By Weight	0
51874	Bo sap loai 1 kg	46900	51874	By Weight	0
51917	Du du tia kg	18000	51917	By Weight	0
52471	Nac dam heo kg	170100	52471	By Weight	0
51774	Cam sanh 130g up kg	11900	51774	By Weight	0
52354	Nac roi heo xay-VS990	136800	52354	By Weight	0
52341	Dung heo kg-VS990	125000	52341	By Weight	0
51876	Vu sua loai 1 kg	66500	51876	By Weight	0
52358	Sun goi heo-VS990	255000	52358	By Weight	0
50207	Hanh la kg	74000	50207	By Weight	1
52360	Suon heo chat-VS990	148000	52360	By Weight	0
54821	S-Ca basa nc bo dau tam uop kg	84500	54821	By Weight	1
52374	Xuong ong heo-VS990	112000	52374	By Weight	0
55461	Ca lim kim kg	175000	55461	By Weight	0
54823	S-File Basa tam uop kg	125000	54823	By Weight	1
50924	Sa cay kg	27000	50924	By Weight	0
52371	Xuong bo heo-VS990	64000	52371	By Weight	0
52362	Suon song heo-VS990	112000	52362	By Weight	0
51879	Chom chom nhan kg	56500	51879	By Weight	0
50925	Gung kg	66000	50925	By Weight	0
52356	Nong heo-VS990	102000	52356	By Weight	0
55463	Ca Mom do Kg	181000	55463	By Weight	0
52349	Mo phan heo-VS990	90000	52349	By Weight	0
51881	Nhan xuong kg	59000	51881	By Weight	0
51895	Tao hong NewZealand kg	62000	51895	By Weight	0
52373	Xuong heo vun-VS990	45000	52373	By Weight	0
55468	Ca Thu ao Kg	191000	55468	By Weight	0
50926	Sa xay kg	36900	50926	By Weight	0
50796	Dau Bo kg	420000	50796	By Weight	0
50802	Nam rom kg	140000	50802	By Weight	0
55470	Ca That lat nao kg-NCC	289000	55470	By Weight	1
51884	Xoai Cat chu L1 kg	34500	51884	By Weight	0
54827	S-Ca duoi tam uop kg	450000	54827	By Weight	1
51885	Man Giong Thai Dep kg	36900	51885	By Weight	0
57099	Mam Linh xay kg	165600	57099	By Weight	0
57100	Mam loc kg	329300	57100	By Weight	0
55473	Ca Nhong Kg	90000	55473	By Weight	0
52472	S-Suon non so che kg-CMT	350000	52472	By Weight	0
50176	Bac Ha Kg	35000	50176	By Weight	0
52476	S-Thit cot letheotam uopkg-CMT	192000	52476	By Weight	1
54946	S-Ca lu du tam uop kg	182000	54946	By Weight	1
50942	Dua leo thuy canh kg	25000	50942	By Weight	0
51889	Cam xoan loai 1 kg	46900	51889	By Weight	0
57101	Mam ca Loc xay kg	290900	57101	By Weight	0
55351	Dau ca Hoi kg	69900	55351	By Weight	0
51890	Cam sanh loai 1 kg	17900	51890	By Weight	0
55477	Ca Basa ncon bo dau kg	67000	55477	By Weight	1
51961	Hong don nho kg	39500	51961	By Weight	0
51957	Le xanh NK kg	30000	51957	By Weight	0
51891	Cam mat loai 1 kg	27500	51891	By Weight	0
50177	Bap cai tim Kg	49900	50177	By Weight	1
50178	Bap cai trang Kg	14900	50178	By Weight	1
11863	S-Chuoi cau kg (1)	15000	11863	By Weight	0
50906	Bap non Kg	44000	50906	By Weight	0
50887	Cu rieng kg	34900	50887	By Weight	0
52407	Thit dui heo-NP990	155000	52407	By Weight	0
52409	Thit vai heo-NP990	147000	52409	By Weight	0
52408	Thit nach heo-NP990	147000	52408	By Weight	0
50174	Cai be xanh kg	41500	50174	By Weight	0
52393	Nac dam heo-NP990	182000	52393	By Weight	0
52394	Nac dui heo-NP990	163000	52394	By Weight	0
52406	Than noi heo-NP990	172000	52406	By Weight	0
52405	Than ngoai heo-NP990	172000	52405	By Weight	0
50907	Bi dao kg	20500	50907	By Weight	0
52385	Gio heo rut xuong kg-NP990	150000	52385	By Weight	0
52380	Cot let heo kg-NP990	150000	52380	By Weight	0
52375	Ba roi heo kg-NP990	205000	52375	By Weight	0
52376	Ba roi rut suon heo kg-NP990	275000	52376	By Weight	0
55479	File Basa tuoi Kg	102000	55479	By Weight	0
56675	S-Bi dao don t.xay SC NCC Kg	93000	56675	By Weight	0
50931	Ot sung batri kg	126000	50931	By Weight	0
52402	Suon non heo-NP990	290000	52402	By Weight	0
52400	Suon gia heo-NP990	184000	52400	By Weight	0
52413	Xuong duoi heo-NP990	105000	52413	By Weight	0
52383	Duoi cut heo-NP990	255000	52383	By Weight	0
52379	Chan gio heo-NP990	125000	52379	By Weight	0
52395	Nac roi heo xay-NP990	152000	52395	By Weight	0
52382	Dung heo kg-NP990	125000	52382	By Weight	0
50904	Kho qua trai kg	34500	50904	By Weight	0
50909	Bi do tron Kg	15500	50909	By Weight	1
52401	Suon heo chat-NP990	190000	52401	By Weight	0
52415	Xuong ong heo-NP990	112000	52415	By Weight	0
55480	Ca Trao Kg	69000	55480	By Weight	0
52412	Xuong bo heo-NP990	80000	52412	By Weight	0
52403	Suon song heo-NP990	112000	52403	By Weight	0
52397	Nong heo-NP990	102000	52397	By Weight	0
52390	Mo phan heo-NP990	90000	52390	By Weight	0
52414	Xuong heo vun-NP990	45000	52414	By Weight	0
11874	S-Bo sap loai 1 kg (1)	30000	11874	By Weight	0
50179	Bong Bi Kg	62900	50179	By Weight	0
11876	S-Vu sua kg (1)	50000	11876	By Weight	0
50180	Bong cai trang Kg	67500	50180	By Weight	1
55484	Ca Duoi ncon kg	272000	55484	By Weight	1
50181	Bong cai xanh Kg	49500	50181	By Weight	1
58536	Ca com kho kg	371200	58536	By Weight	0
57095	Hu tieu dot kg	17500	57095	By Weight	0
50175	Rau Tan o kg	51500	50175	By Weight	0
52477	S-Suon gia tam uop kg - CMT	230000	52477	By Weight	1
11884	S-Xoai cat chu kg (1)	20000	11884	By Weight	0
50910	Ca chua bi Kg	48000	50910	By Weight	0
11889	S-Cam Soan loai1 kg (1)	25000	11889	By Weight	0
56676	S-Ca chua+thit xay sc NCC Kg	88000	56676	By Weight	0
56081	So Diep kg	199000	56081	By Weight	0
50911	Ca chua Kg	29900	50911	By Weight	0
53573	Uc ga khong xuong lung kg - CP	74619	53573	By Weight	0
51840	Le xanh Uc kg	199900	51840	By Weight	0
51892	Coc xanh loai 1 kg	22500	51892	By Weight	0
51899	Le xanh Nhat kg	17000	51899	By Weight	0
50183	Sa lach lo lo xanh kg	42900	50183	By Weight	1
51790	Du du vang loai 1 kg	18500	51790	By Weight	0
50184	Cai Xay Kg	30900	50184	By Weight	0
54528	Tom su loai 1 kg	525000	54528	By Weight	0
51943	Tao bi do New Zealand kg	92500	51943	By Weight	0
11595	S-Tao bi xanh My kg (1)	11200	11595	By Weight	0
56222	Tao Jonagold My kg	82500	56222	By Weight	0
57038	Mam Thai du du ca kg	204100	57038	By Weight	0
11563	S-Tao do My kg (1)	40000	11563	By Weight	0
52458	Thit dui truoc heo kg	147600	52458	By Weight	0
52459	Ba roi heo kg	190800	52459	By Weight	0
51925	Du du song nguyen trai kg	18500	51925	By Weight	0
11557	S-Tao do Tquoc kg (1)	6600	11557	By Weight	0
11539	S-Bon bon Thai kg (1)	15200	11539	By Weight	0
11515	S-Dua le kg (1)	15000	11515	By Weight	0
11514	S-Dua hau do loai 1 kg (1)	10000	11514	By Weight	1
51397	Xoai keo kg	19900	51397	By Weight	0
56038	Thit ghe kg	590000	56038	By Weight	0
52508	Nac dui heo kg	150300	52508	By Weight	0
50870	Tieu xay kg	324000	50870	By Weight	0
57266	Kho ca chi vang kg	170000	57266	By Weight	0
57257	Kho ca Dong nho kg	364500	57257	By Weight	0
59082	Tao Jazz NewZealand kg	85000	59082	By Weight	0
57346	Kho muc ong 20-25cm kg	215000	57346	By Weight	0
57347	Kho muc ong 23-28cm kg	220000	57347	By Weight	0
57348	Kho muc ong duoi 20cm kg	205000	57348	By Weight	0
57350	Kho ca mu kg	93000	57350	By Weight	0
57351	Kho ca bo kg	71000	57351	By Weight	0
57352	Kho vi ca duoi kg	83000	57352	By Weight	0
53076	Thit file bo kg	350000	53076	By Weight	0
50992	Hanh tay DaLat kg	27500	50992	By Weight	0
50923	Mit non bao kg-TD	10500	50923	By Weight	0
57777	Nhan nhuc kho kg	322800	57777	By Weight	0
